sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height
108980,Eichholtz Harvey Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,4950,25%,3712.5,"Polished stainless steel
Clear glass | mirror glass

39.37"" x 39.37"" x 16.14"" H

Display your collectables in style with the square Harvey Coffee Table, the perfect table to showcase decorative items. Comprising a polished stainless steel frame, it features a sliding display top of clear tempered glass and a bottom of mirrored glass.
","108980-1, 108980-2, 108980-3, 108980-4",39.37,39.37,16.14
109867,Eichholtz Rectangular Harvey Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,6210,25%,4657.5,"Polished stainless steel
Clear glass | mirror glass

55.12"" x 33.46"" x 16.14"" H

Display your collectables in style with the rectangular Harvey Coffee Table, the perfect table to showcase decorative items. Comprising a polished stainless steel frame, it features a sliding display top of clear tempered glass and a bottom of mirrored glass.","109867-1, 109867-2, 109867-3, 109867-4",55.12,33.46,16.14
114023,Eichholtz Harvey Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,6600,25%,4950,"Brushed brass finish | clear glass | mirror glass

39.37"" x 39.37"" x 16.14"" H","114023-1, 114023-2",39.37,39.37,16.14
114036,Eichholtz Rectangular Harvey Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,7035,25%,5276.25,"Eichholtz Rectangular Harvey Coffee Table

55.12"" x 33.46"" x 16.14"" H
","114036-1, 114036-2",55.12,33.46,16.14
114035,Eichholtz Gamma Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,6000,25%,4500,"Polished stainless steel | clear glass

59.06"" x 31.5"" x 18.11"" H

Add a touch of timeless beauty to your interior with the Gamma Coffee Table. With its clean graphic lines it is reminiscent of the iconic design furniture of Bauhaus. Constructed from stainless steel, it features a polished finish and a clear glass tabletop.
","114035-1, 114035-2, 114035-3, 114035-4",59.06,31.5,18.11
114022,Eichholtz Gamma Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,6000,25%,4500,"Brushed brass finish | clear glass

59.06"" x 31.5"" x 18.11"" H

Add a touch of timeless beauty to your interior with the Gamma Coffee Table. With its clean graphic lines it is reminiscent of the iconic design furniture of Bauhaus. Constructed from stainless steel, it features a brushed brass finish and a clear glass tabletop.","114022-1, 114022-2",59.06,31.5,18.11
110368,Eichholtz Gamma Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,6210,25%,4657.5,"Bronze finish | clear glass

59.06"" x 31.5"" x 18.11"" H

Add a touch of timeless beauty to your interior with the Gamma Coffee Table. With its clean graphic lines it is reminiscent of the iconic design furniture of Bauhaus. Constructed from stainless steel, it features a bronze finish and a clear glass tabletop.
","110368-1, 110368-2, 110368-3, 110368-4, 110368-5, 110368-6",59.06,31.5,18.11
114038,Eichholtz Gamma Side Table,EICHHOLTZ,Tables > End Tables,4200,25%,3150,"Polished stainless steel | clear glass

25.59"" x 25.59"" x 21.65"" H

Add a touch of timeless beauty to your interior with the Gamma Side Table. With its clean graphic lines it’s reminiscent of the iconic design furniture of Bauhaus. Constructed from stainless steel, it features a polished finish and a clear glass tabletop.


","114038-1, 114038-2, 114038-3, 114038-4, 114038-5",25.59,25.59,21.65
110370,Eichholtz Gamma Side Table,EICHHOLTZ,Tables > End Tables,4350,25%,3262.5,"Bronze finish | clear glass

25.59"" x 25.59"" x 21.65"" H

Add a touch of timeless beauty to your interior with the Gamma Side Table. With its clean graphic lines it’s reminiscent of the iconic design furniture of Bauhaus. Constructed from stainless steel, it features a bronze finish and a clear glass tabletop.


","110370-1, 110370-2, 110370-3, 110370-4, 110370-5",25.59,25.59,21.65
114037,Eichholtz Gamma Console Table,EICHHOLTZ,Tables > Console Tables,5025,25%,3768.75,"Polished stainless steel | clear glass

62.99"" x 17.72"" x 29.92"" H

Add a touch of timeless beauty to your interior with the Gamma Console Table. With its clean graphic lines it’s reminiscent of the iconic design furniture of Bauhaus. Constructed from stainless steel, it features a polished finish and a clear glass tabletop.","114037-1, 114037-2, 114037-3, 114037-4",62.99,17.72,29.92
