sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
893640-11,PLUME 45? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7990,"Interweaving signature Fine Art studio glass with the noble element of our handmade metal fabrication, this silver leaf chandelier combines classical lines with a contemporary glass design. Each plume is handblown and sculpted with a translucent mixture of clear crystal and white glass. 

MODEL NUMBER 
893640-11 
DIMENSIONS 
29” H x 45” W ( 74 cm x 114 cm ) 
NET WEIGHT 
40 lbs., 18.0 kgs 
ELECTRICAL 
US Bulb: B-10, 60W, Candelabra, Not Included 
INTL Bulb: B35-E14, 60W, CandelabraIncluded","893640-11-1, 893640-11-2",,,
859040-11,PRUSSIAN NEOCLASSIC 34? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7330,"Chandelier with bold lines traced delicately by fine cut crystal beads in weathered Prussian silver gray finish with hand-sewn driftwood linen shades. Also available in Brandenburg gold leaf #859040-21ST. 

MODEL NUMBER 
859040-11 
DIMENSIONS 
34” H x 34” W ( 86.36 cm x 86.36 cm ) 
NET WEIGHT 
30 lbs., 13.64 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","859040-11-1, 859040-11-2, 859040-11-3",,,
859040-21,PRUSSIAN NEOCLASSIC 34? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7330,"Chandelier with bold lines traced delicately by fine cut crystal beads in Brandenburg gold leaf finish with hand-sewn, cream toned silk shantung shade. Also available in weathered Prussian silver gray #859040-11ST. 

MODEL NUMBER 
859040-21 
DIMENSIONS 
34” H x 34” W ( 86.36 cm x 86.36 cm ) 
NET WEIGHT 
30 lbs., 13.64 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","859040-21-1, 859040-21-2, 859040-21-3",,,
857840-21,PRUSSIAN NEOCLASSIC 48? OVAL CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,8690,"Chandelier with bold lines traced delicately by fine cut crystal beads in Brandenburg gold leaf finish with hand-sewn, cream toned silk shantung shade. Also available in weathered Prussian silver gray #857840-11ST. 

MODEL NUMBER 
857840-21 
DIMENSIONS 
39” H x 48” W x 24” D ( 99.06 cm x 121.92 cm x 60.96 cm ) 
NET WEIGHT 
44 lbs., 20.0 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","857840-21-1, 857840-21-2, 857840-21-3",,,
857840-11,PRUSSIAN NEOCLASSIC 48? OVAL CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,8690,"Chandelier with bold lines traced delicately by fine cut crystal beads in weathered Prussian silver gray finish with hand-sewn driftwood linen shades. Also available in Brandenburg gold leaf #857840-21ST. 

MODEL NUMBER 
857840-11 
DIMENSIONS 
39” H x 48” W x 24” D ( 99.06 cm x 121.92 cm x 60.96 cm ) 
NET WEIGHT 
44 lbs., 20.0 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","857840-11-1, 857840-11-2, 857840-11-3",,,
302740,WINTER PALACE 26? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,5850,"Chandelier of steel in warm antiqued silver finish. Features brilliant icicle lead crystals. 

MODEL NUMBER 
302740 
DIMENSIONS 
28” H x 26” W ( 71.12 cm x 66.04 cm ) 
NET WEIGHT 
20 lbs., 9.09 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","302740-1, 302740-2, 302740-3",,,
798140,VOL DE CRISTAL 46? OBLONG CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,5880,"Oblong chandelier featuring graceful sweeps of tapered beveled crystals precisely set in metal wings in an airy platinized silver leaf finish.Ships standard with 6 six inch links. 

MODEL NUMBER 
798140 
DIMENSIONS 
26” H x 46” W x 13” D ( 66.04 cm x 116.84 cm x 33.02 cm ) 
NET WEIGHT 
24 lbs., 10.91 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Included 
INTL Bulb: B35 E14, 60W, Candelabra, Included",798140-1,,,
789840,VOL DE CRISTAL 54? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,12830,"Chandelier featuring graceful sweeps of tapered beveled crystals precisely set in metal wings in an airy platinized silver leaf finish.Ships standard with 6 six inch links. 

MODEL NUMBER 
789840 
DIMENSIONS 
55” H x 54” W ( 139.7 cm x 137.16 cm ) 
NET WEIGHT 
89 lbs., 40.45 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Included 
INTL Bulb: B35 E14, 60W, Candelabra, Included",789840-1,,,
226540,STILE BELLAGIO 45? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,11840,"Chandelier in tortoise leather crackle finish with stained silver leaf accents and mineral-stained crystal drops. Hand-sewn, silk shantung shades. 

MODEL NUMBER 
226540 
DIMENSIONS 
62” H x 45” W ( 157.48 cm x 114.3 cm ) 
NET WEIGHT 
85 lbs., 38.64 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","226540-1, 226540-2, 226540-3",,,
733840,PERSPECTIVES 42? SQUARE CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,6990,"Chandelier in a patinated golden bronze finish with shades of multi-tonal gold organza. Includes a 6? adjustable rod. Also available in warm muted silver leaf finish: 733840-2. Canopy adapts to vaulted ceiling. 

MODEL NUMBER 
733840 
DIMENSIONS 
37” H x 42” W ( 93.98 cm x 106.68 cm ) 
NET WEIGHT 
30 lbs., 13.64 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","733840-1, 733840-2, 733840-3",,,
