sku,Name,Brand,Categories,Wholesale,Price,Description,Images
SS552-PH3-097,Hooker Furniture Living Room Braeburn Leather Sofa w/PWR Recline PWR Headrest,Hooker Furniture,Seating > Sofas,2490,5478,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 95"" (241.3 cm) 
Depth: 40"" (101.6 cm) 
Height: 38"" (96.5 cm) 
Weight: 305 lb (137.2 kg)","SS552-PH3-097-1,
SS552-PH3-097-2,
SS552-PH3-097-3"
SS608-PHZL3-082,Hooker Furniture Living Room Lyra Zero Gravity Power Sofa with Power Headrest,Hooker Furniture,Seating > Sofas,1979,4353.8,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 89 1/2"" (227.3 cm) 
Depth: 42"" (106.7 cm) 
Height: 42 1/2"" (108 cm) 
Weight: 299.75 lb (134.9 kg)","SS608-PHZL3-082-1,
SS608-PHZL3-082-2,
SS608-PHZL3-082-3,
SS608-PHZL3-082-4"
SS608-PHZL3-093,Hooker Furniture Living Room Lyra Zero Gravity Power Sofa with Power Headrrest (Dark),Hooker Furniture,Seating > Sofas,1979,4353.8,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 89 1/2"" (227.3 cm) 
Depth: 42"" (106.7 cm) 
Height: 42 1/2"" (108 cm) 
Weight: 299.75 lb (134.9 kg)","SS608-PHZL3-093-1,
SS608-PHZL3-093-2,
SS608-PHZL3-093-3,
SS608-PHZL3-093-4,
SS608-PHZL3-093-5"
SS703-PHZ3-080,Hooker Furniture Living Room Rhea Zero Gravity Power Recline Sofa with Power Headrest,Hooker Furniture,Seating > Sofas,1715,3773,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 78"" (198.1 cm) 
Depth: 41"" (104.1 cm) 
Height: 43"" (109.2 cm) 
Weight: 300 lb (135 kg)","SS703-PHZ3-080-1,
SS703-PHZ3-080-2,
SS703-PHZ3-080-3,
SS703-PHZ3-080-4,
SS703-PHZ3-080-5"
SS703-PHZ3-091,Hooker Furniture Living Room Rhea Zero Gravity Power Recline Sofa with Power Headrest (Light Color),Hooker Furniture,Seating > Sofas,1715,3773,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 78"" (198.1 cm) 
Depth: 41"" (104.1 cm) 
Height: 43"" (109.2 cm) 
Weight: 300 lb (135 kg)","SS703-PHZ3-091-1,
SS703-PHZ3-091-2,
SS703-PHZ3-091-3,
SS703-PHZ3-091-4"
SS704-PHZ3C-019,Hooker Furniture Living Room Ruthe ZeroG Power Sofa w/PH & Hidden Console,Hooker Furniture,Seating > Sofas,1847,4063.4,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 80 1/2"" (204.5 cm) 
Depth: 41 1/2"" (105.4 cm) 
Height: 41 1/2"" (105.4 cm) 
Weight: 300 lb (135 kg)","SS704-PHZ3C-019-1,
SS704-PHZ3C-019-2,
SS704-PHZ3C-019-3,
SS704-PHZ3C-019-4"
SS704-PHZ3C-049,Hooker Furniture Living Room Ruthe ZeroG Power Sofa w/PH & Hidden Console (Dark),Hooker Furniture,Seating > Sofas,1847,4063.4,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 80 1/2"" (204.5 cm) 
Depth: 41 1/2"" (105.4 cm) 
Height: 41 1/2"" (105.4 cm) 
Weight: 300 lb (135 kg)","SS704-PHZ3C-049-1,
SS704-PHZ3C-049-2,
SS704-PHZ3C-049-3,
SS704-PHZ3C-049-4,
SS704-PHZ3C-049-5,
SS704-PHZ3C-049-6"
SS705-PHL3-047,Hooker Furniture Living Room Montel Lay Flat Power Sofa with Power Headrest & Lumbar,Hooker Furniture,Seating > Sofas,1979,4353.8,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 87 1/2"" (222.2 cm) 
Depth: 40 1/2"" (102.9 cm) 
Height: 43"" (109.2 cm) 
Weight: 313 lb (140.8 kg)","SS705-PHL3-047-1,
SS705-PHL3-047-2,
SS705-PHL3-047-3"
SS813-03-081,Hooker Furniture Living Room Romiah Stationary Sofa,Hooker Furniture,Seating > Sofas,1333,2932.6,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 86 1/4"" (219.1 cm) 
Depth: 37"" (94 cm) 
Height: 34"" (86.4 cm) 
Weight: 140.8 lb (63.4 kg)","SS813-03-081-1,
SS813-03-081-2,
SS813-03-081-3"
SS806-PH2.5-091,Hooker Furniture Living Room Gable Leather PWR 2 over 2 Sofa w/ PWR Headrest,Hooker Furniture,Seating > Sofas,1555,3421,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs.

Width: 89"" (226.1 cm) 
Depth: 41"" (104.1 cm) 
Height: 41"" (104.1 cm) 
Weight: 285 lb (128.2 kg)","SS806-PH2.5-091-1,SS806-PH2.5-091-2,
SS806-PH2.5-091-3,
SS806-PH2.5-091-4"
