sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height,
88-0166,Maitland Smith Piazza San Marco Arm Chair,Maitland Smith,Seating > Dining Chairs,4047,30%,2832.9,"88-0166 - PIAZZA SAN MARCO ARM CHAIR
W: 71 cm D: 76 cm H: 127 cm 
New Intro: Fall 2021
*UPHOLSTERY FABRIC MAY VARY* Old World Orleans finish with Versailles trim.
Weight: 18.1kg","88-0166-1,
88-0166-2",,,,
88-0246,Maitland Smith Lyric Arm Chair,Maitland Smith,Seating > Dining Chairs,1947,30%,1362.9,"88-0246 - LYRIC ARM CHAIR (C-LY46)
W: 61 cm D: 71 cm H: 86 cm 
New Intro: Fall 2021
Mahogany Wood arm chair finished in Caviar.
Weight: 16.8kg","88-0246-1,
88-0246-2",,,,
88-0445,Maitland Smith Lyric Side Chair,Maitland Smith,Seating > Dining Chairs,1797,30%,1257.9,"88-0445 - Lyric Side Chair (C-LY45)
W: 51 cm D: 71 cm H: 97 cm 
New Intro: Fall 2021
Mahogany Wood side chair finished in Caviar.
Weight: 14.1kg","88-0445-1,
88-0445-2",,,,
88-0646,Maitland Smith Majorca Arm Chair,Maitland Smith,Seating > Dining Chairs,3147,30%,2202.9,"88-0646 - Majorca Arm Chair (MAJ46)
W: 56 cm D: 71 cm H: 127 cm 
New Intro: Fall 2021
*UPHOLSTERY NOT AS SHOWN. Actual upholstery fabric pictured in additional slide* Rubber Wood arm chair finished in Briar. Handmade carvings on full body are finished in Venetian Gold.
Weight: 19.1kg","88-0646-1,
88-0646-2,
88-0646-3",,,,
88-0745,Maitland Smith Majorca Side Chair,Maitland Smith,Seating > Dining Chairs,2547,30%,1782.9,"88-0745 - Majorca Side Chair (MAJ45-2)
W: 58 cm D: 71 cm H: 137 cm 
New Intro: Fall 2021
*UPHOLSTERY NOT AS SHOWN. Actual upholstery fabric pictured in additional slide* Rubber Wood side chair finished in Briar. Handmade carvings on full body are finished in Venetian Gold.
Weight: 18.1kg","88-0745-1,
88-0745-2",,,,
88-0845,Maitland Smith Majorca Side Chair Alternate,Maitland Smith,Seating > Dining Chairs,2547,30%,1782.9,"88-0845 - MAJORCA SIDE CHAIR (MAJ45-1)
W: 58 cm D: 69 cm H: 127 cm 
New Intro: Fall 2021
*UPHOLSTERY NOT AS SHOWN. Actual upholstery fabric pictured in additional slide* Rubber Wood side chair finished in Briar. Handmade carvings on full body are finished in Venetian Gold. Upholstered seat, with elegantly curved and trimmed back rest.
Weight: 17.2kg","88-0845-1,
88-0845-2",,,,
88-0245,Maitlnd Smith Grand Traditions Side Chair,Maitland Smith,Seating > Dining Chairs,2547,30%,1782.9,"88-0245 - GRAND TRADITIONS SIDE CHAIR (GRT45-1)
W: 64 cm D: 69 cm H: 119 cm 
New Intro: Fall 2021
Mahogany Wood side chair finished with Bombay, featuring handmade carving on full body, trimmed in Venetian Gold.
Weight: 22.2kg","88-0245-1,
88-0245-2",,,,
88-0346,Maitland Smith Grand Traditions Arm Chair,Maitland Smith,Seating > Dining Chairs,2787,30%,1950.9,"88-0346 - GRAND TRADITIONS ARM CHAIR (GRT46-1)
W: 71 cm D: 69 cm H: 119 cm 
New Intro: Fall 2021
Mahogany Wood arm chair finished in Bombay. Handmade carvings on full body are trimmed in Venetian Gold.
Weight: 22.2kg","88-0346-1,
88-0346-2",,,,
8113-41,Maitland Smith Paris Arm Chair,Maitland Smith,Seating > Dining Chairs,1437,30%,1005.9,"8113-41 - PARIS ARM CHAIR
W: 61 cm D: 66 cm H: 99 cm 
Dark Walnut Finished Arm Chair, Gray Mist Fabric Upholstery, Polished Nickel Accents
Weight: 15.0kg",8113-41-1,,,,
88-0165,Maitland Smith Piazza San Marco Side Chair,Maitland Smith,Seating > Dining Chairs,3597,30%,2517.9,"88-0165 - PIAZZA SAN MARCO SIDE CHAIR (PSM65-1)
W: 66 cm D: 71 cm H: 127 cm 
New Intro: Fall 2021
Old World Orleans finish with Versailles trim.
Weight: 15.0kg",88-0165-1,,,,
88-0546,Maitland Smith Bolero Arm Chair,Maitland Smith,Seating > Dining Chairs,3147,30%,2202.9,"88-0546 - Bolero Arm Chair (BOL46)
W: 58 cm D: 71 cm H: 114 cm 
New Intro: Fall 2021
*UPHOLSTERY FABRIC MAY VARY. Actual upholstery fabric shown in additional slide* Bombay finish with Deco Silver trim.
Weight: 17.2kg","88-0546-1,
88-0546-2,
88-0546-3",,,,
88-0746,Maitland Smith Piazza San Marco Arm Chair Alternate,Maitland Smith,Seating > Dining Chairs,4047,30%,2832.9,"88-0746 - Piazza San Marco Arm Chair (PSM46-1)
W: 69 cm D: 74 cm H: 124 cm 
New Intro: Fall 2021
*UPHOLSTERY FABRIC MAY VARY. Actual upholstery fabric shown in additional slide.* Old World Orleans finish with Versailles trim.
Weight: 18.1kg","88-0746-1,
88-0746-2,
88-0746-3",,,,
88-0545,Maitland Smith Piazza San Marco Side Chair Alternate,Maitland Smith,Seating > Dining Chairs,3747,30%,2622.9,"88-0545 - Piazza San Marco Side Chair (PSM45-1)
W: 64 cm D: 74 cm H: 124 cm 
New Intro: Fall 2021
*UPHOLSTERY FABRIC MAY VARY. Actual upholstery fabric shown in additional slide.* Old World Orleans finish with Versailles trim.
Weight: 16.3kg","88-0545-1,
88-0545-2",,,,
8121-41,Maitland Smith Massachusetts Polished Mahogany Arm chair,Maitland Smith,Seating > Dining Chairs,1497,30%,1047.9,"8121-41 - MASSACHUSETTS POLISHED MAHOGANY ARM CHAIR
W: 64 cm D: 58 cm H: 99 cm 
Polished Mahogany Chippendale Straight Leg Arm Chair, Neutral Fabric Upholstery
Weight: 10.9kg",8121-41-1,,,,
88-0146,Maitland Smith Aria Arm Chair,Maitland Smith,Seating > Dining Chairs,2487,30%,1740.9,"88-0146 - ARIA ARM CHAIR (C-AR46)
W: 69 cm D: 71 cm H: 114 cm 
New Intro: Fall 2021
Mahogany Wood arm chair finished with Aria, featuring handmade carving on full body, trimmed in Aged Gold.
Weight: 24.5kg",88-0146-1,,,,
88-0645,Maitland Smith Ensemble Side Chair,Maitland Smith,Seating > Dining Chairs,1797,30%,1257.9,"88-0645 - Ensemble Side Chair (C-EN45)
W: 53 cm D: 66 cm H: 102 cm 
New Intro: Fall 2021
Mahogany Wood side chair finished in Ensemble with Matte Nickel metal details.
Weight: 13.2kg","88-0645-1,
88-0645-2",,,,
8104-41,Maitland Smith Cabriole Arm Chair,Maitland Smith,Seating > Dining Chairs,1587,30%,1110.9,"8104-41 - CABRIOLE ARM CHAIR
W: 66 cm D: 64 cm H: 109 cm 
Carved Aged Regency Finished Mahogany Chippendale Arm Chair, Woven Caramel Fabric
Weight: 16.3kg",8104-41-1,,,,
8123-41,Maitland Smith Connecticut Polished Mahogany Arm Chair,Maitland Smith,Seating > Dining Chairs,1497,30%,1047.9,"8123-41 - CONNECTICUT POLISHED MAHOGANY ARM CHAIR
W: 58 cm D: 53 cm H: 104 cm 
Carved Polished Mahogany Chippendale Straight Leg Arm Chair, Neutral Fabric Upholstery
Weight: 17.7kg",8123-41-1,,,,
88-0345,Maitland Smith Bolero Side Chair,Maitland Smith,Seating > Dining Chairs,2997,30%,2097.9,"88-0345 - BOLERO SIDE CHAIR (BOL45)
W: 58 cm D: 74 cm H: 107 cm 
New Intro: Fall 2021
*UPHOLSTERY FABRIC MAY VARY. Actual upholstery fabric pictured in additional slide* Bombay finish with Deco Silver trim.
Weight: 16.3kg","88-0345-1,
88-0345-2",,,,
8124-41,Maitland Smith New York Arm Chair,Maitland Smith,Seating > Dining Chairs,1497,30%,1047.9,"8124-41 - NEW YORK ARM CHAIR
W: 66 cm D: 64 cm H: 104 cm 
Carved Polished Mahogany Finish Chippendale Arm Chair, Cabriole Leg, Neutral Upholstery
Weight: 15.0kg",8124-41-1,,,,
8103-40,Maitland Smith Connecticut Regency Mahogany Side Chair,Maitland Smith,Seating > Dining Chairs,1347,30%,942.9,"8103-40 - CONNECTICUT REGENCY MAHOGANY SIDE CHAIR
W: 56 cm D: 53 cm H: 104 cm 
Carved Aged Regency Finished Mahogany Chippendale Straight Leg Side Chair, Caramel Fabric
Weight: 9.1kg",8103-40-1,,,,
8121-40,Maitland Smith Polished Mahogany Side Chair,Maitland Smith,Seating > Dining Chairs,1347,30%,942.9,"8121-40 - MASSACHUSETTS POLISHED MAHOGANY SIDE CHAIR
W: 58 cm D: 58 cm H: 99 cm 
Polished Mahogany Chippendale Straight Leg Side Chair, Neutral Fabric Upholstery
Weight: 8.2kg",8121-40-1,,,,
8102-40,Maitland Smith Massachusetts Aged Regency Side Chair,Maitland Smith,Seating > Dining Chairs,1347,30%,942.9,"8102-40 - MASSACHUSETTS AGED REGENCY SIDE CHAIR
W: 58 cm D: 58 cm H: 99 cm 
Carved Aged Regency Finished Mahogany Chippendale Side Chair, Woven Caramel Fabric
Weight: 8.2kg",8102-40-1,,,,
8105-40,Maitland Smith Hand Carved Frontier Side Chair,Maitland Smith,Seating > Dining Chairs,2109,30%,1476.3,"8105-40 - HAND CARVED FRONTIER SIDE CHAIR
W: 64 cm D: 71 cm H: 122 cm 
Hand Carved Frontier Finished Side Chair with Rust Velvet Patterned Upholstery
Weight: 16.8kg",8105-40-1,,,,
8120-41,Maitland Smith Philadelphia Arm Chair,Maitland Smith,Seating > Dining Chairs,1437,30%,1005.9,"8120-41 - PHILADELPHIA ARM CHAIR
W: 66 cm D: 61 cm H: 104 cm 
Carved Polished Mahogany Chippendale Arm Chair, Cabriole Leg, Neutral Fabric Upholstery
Weight: 11.8kg",8120-41-1,,,,
8124-40,Maitland Smith New York Arm Chair Alternate,Maitland Smith,Seating > Dining Chairs,1347,30%,942.9,"8124-40 - NEW YORK SIDE CHAIR
W: 66 cm D: 64 cm H: 104 cm 
Carved Polished Mahogany Finish Chippendale Side Chair, Cabriole Leg, Neutral Upholstery
Weight:14.1kg",8124-40-1,,,,
8104-40,Maitland Smith Cabriole Side Chair,Maitland Smith,Seating > Dining Chairs,1437,30%,1005.9,"8104-40 - CABRIOLE SIDE CHAIR
W: 61 cm D: 64 cm H: 109 cm 
Carved Aged Regency Finished Mahogany Chippendale Side Chair, Woven Caramel Fabric
Weight: 15.0kg",8104-40-1,,,,
