sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
3503G24C,Elegant Lighting Monroe Chrome Chandelier Clear Royal Cut Crystal,Elegant Lighting,Lighting > Chandeliers,1060,"3503G24C

Monroe Integrated LED chip light Chrome Chandelier Clear Royal Cut Crystal

Dimensions: 
D23.6"" H12""

Canopy dimension: 
H1 D7.1

Color Temperature: 
4000K

Finish: 
Chrome & Clear

Crystal/Glass Color: Clear

Material: 
Stainless steel & Crystal

Product Weight: 
24.4

Style: 
Transitional","3503G24C-1, 3503G24C-2, 3503G24C-3, 3503G24C-4, 3503G24C-5, 3503G24C-6",23.6,23.6,12
3503D23C,Elegant Lighting Monroe Chrome Chandelier Clear Royal Cut Crystal,Elegant Lighting,Lighting > Chandeliers,710,"3503D23C

Monroe Integrated LED chip light Chrome Chandelier Clear Royal Cut Crystal

Dimensions :
Chain/Rod Length: 80""
Length: 23.6""
Width: 23.6""
Height: 3""
Maximum Height: 80""
Wire Length: 80""

Color Temperature: 
4000K

Finish: 
Chrome & Clear

Crystal/Glass Color: 
Clear

Material: 
Stainless steel & Crystal

Product Weight: 
15.2

Style: 
Transitional","3503D23C-1, 3503D23C-2, 3503D23C-3, 3503D23C-4, 3503D23C-5, 3503D23C-6",23.6,23.6,3
3503G3LG,Elegant Lighting Monroe Gold Chandelier Clear Royal Cut Crystal,Elegant Lighting,Lighting > Chandeliers,2112,"3503G3LG

Monroe Integrated LED chip light gold Chandelier Clear Royal Cut Crystal

Dimensions: 
Chain/Rod Length: 78.7""
Length: 31.5""
Width: 31.5""
Height: 21""
Maximum Height: 80""

Canopy dimension: 
H1 D10

Color temp: 
3000K

Hardware Finish: 
Gold

Crystal/Glass Color: 
Clear

Material: 
Stainless steel & Crystal

Product Weight: 
46.2

Style: 
Transitional","3503G3LG-1, 3503G3LG-2, 3503G3LG-3, 3503G3LG-4, 3503G3LG-5",31.5,31.5,21
3503G32C,Elegant Lighting Monroe Chrome Chandelier Clear Royal Cut Crystal,Elegant Lighting,Lighting > Chandeliers,1752,"3503G32C

Monroe Integrated LED chip light Chrome Chandelier Clear Royal Cut Crystal

Dimensions : 
Chain/Rod Length: 80""
Length: 31.5""
Width: 31.5""
Height: 12""
Maximum Height: 80""
Wire Length: 80""

Color Temperature: 
4000K

Finish: 
Chrome & Clear

Crystal/Glass Color: 
Clear

Material: 
Stainless steel & Crystal

Product Weight: 
37.4

Style: 
Transitional","3503G32C-1, 3503G32C-2, 3503G32C-3, 3503G32C-4, 3503G32C-5",31.5,31.5,12
1708D24C,Elegant Lighting London 12-Light Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,862,"London 12 Light Chrome Chandelier

Dimensions:
Chain/Rod Length: 60"" 
Length: 24"" 
Width: 24"" 
Height: 32.3"" 
Maximum Height: 92.3"" 
Wire Length: 144""

Collection :London Hang

Bulb Type : E12 (Candelabra) bulb not included

Lamp Frame Weight: 13.8 LBS

Total Weight: 45.4 LBS

Finish: 
Chrome and Clear

Crystal/Glass Color: 
Clear

Material: 
Iron and Glass

Number of Bulbs: 
12

Product Weight: 
45.4

Style: 
Transitional","1708D24C-1, 1708D24C-2, 1708D24C-3, 1708D24C-4, 1708D24C-5, 1708D24C-6, 1708D24C-7",24,24,32.3
1706D23C,Elegant Lighting Riviera 12-Light Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,1436,"1706D23C

Riviera 12 Light Chrome Chandelier

Dimensions:
Chain/Rod Length: 60"" 
Length: 23.6"" 
Width: 23.6"" 
Height: 26"" 
Maximum Height: 87.6"" 
Wire Length: 144""

Collection :Riviera Hang

Bulb Type : E12 (Candelabra) bulb not included

Lamp Frame Weight : 16 LBS

Total Weight : 77 LBS

Finish: 
Chrome and Clear

Crystal/Glass Color: 
Clear

Material: 
Iron and Glass

Min hang height: 
35.6

Number of Bulbs: 
12

Product Weight: 
77

Style: 
Transitional","1706D23C-1, 1706D23C-2, 1706D23C-3, 1706D23C-4, 1706D23C-5, 1706D23C-6",23.6,23.6,26
1705D31SDG,Elegant Lighting Malta 40-Light Satin Dark Grey Chandelier,Elegant Lighting,Lighting > Chandeliers,1006,"1705D31SDG

Malta 40 light Satin Dark Grey Chandelier Clear Royal Cut Crystal

The Malta collection is an amazing blend of Old World functionality and 21st-century technology.

Dimensions:
Chain/Rod Length: 59"" 
Length: 31.5"" 
Width: 31.5"" 
Height: 5"" 
Maximum Height: 59"" 
Wire Length: 70""

Finish 
Satin Dark Grey

Crystal/Glass Color: Clear

Color Temperature: 3000K 
Lumens: 5000

Hardware Material 
Iron

Material 
metal + crystal

Product Weight 
19.9

Style 
Contemporary
",1705D31SDG-1,31.5,31.5,5
9603W14FG,Elegant Lighting Monarch Collection Wall Sconce 3Lt,Elegant Lighting,Lighting > Wall Sconces,462,"9603W14FG/RC

Monarch Collection Wall Sconce 3Lt Royal Cut Crystal

Monarch Collection – A swirling vision of scrolls and crystal glass, the Monarch Collection makes a beautiful design statement. Truly a regal and distinct piece, each one has a carved leafy crown bearing gleaming crystal. The soft candelabra lights add the finishing touch to this spectacular design.

Dimensions:
Length: 14"" 
Width: 14"" 
Height: 18"" 
Extension: 9.5"" 
Wire Length: 23.62""

Available in:
French Gold: 9603W14FG
Dark Bronze: 9603W14DB
Pewter: 9603W14PW


Material: 
Brass & Crystal

Crystal/Glass Color: clear

Product Weight: 
9

Style: 
Traditional","9603W14FG-1, 9603W14FG-2, 9603W14FG-3",14,14,18
V2914D24C-RC,Elegant Lighting Amelie 10-Light Chrome Pendant,Elegant Lighting,Lighting > Pendants,818,"V2914D24C/RC

Amelie 10 light Chrome Pendant Clear Royal Cut Crystal

Dimensions:
Chain/Rod Length: 60"" 
Length: 24"" 
Width: 24"" 
Height: 6.5"" 
Maximum Height: 59.1"" 
Wire Length: 70.9""

Finish 
Chrome

Crystal/Glass Color: clear

Hardware Material 
Steel

Material: 
Iron & Crystal

Number of Bulbs: 
10

Product Weight: 
21.12

Style: 
Contemporary","V2914D24C-RC-1, V2914D24C-RC-2, V2914D24C-RC-3, V2914D24C-RC-4, V2914D24C-RC-5, V2914D24C-RC-6, V2914D24C-RC-7",24,24,6.5
V2914D16C-RC,Elegant Lighting Amelie 6-Light Chrome Pendant,Elegant Lighting,Lighting > Pendants,410,"V2914D16C/RC

Amelie 6 light Chrome Pendant Clear Royal Cut Crystal

Dimensions:
Chain/Rod Length: 60"" 
Length: 16"" 
Width: 16"" 
Height: 5"" 
Maximum Height: 59.1"" 
Wire Length: 70.9""

Finish: 
Chrome

Crystal/Glass Color: clear

Material: 
Iron & Crystal

Product Weight: 
9.9

Style: 
Contemporary
","V2914D16C-RC-1, V2914D16C-RC-2, V2914D16C-RC-3, V2914D16C-RC-4, V2914D16C-RC-5, V2914D16C-RC-6",16,16,5
